winner,loser,winner_score,loser_score,date,duration,clan_battle
740,337,14,-5,2020-09-18,00:44:00,
1252,1320,33,-16,2020-12-13,04:49:00,
1912,557,30,-36,2021-01-21,06:05:00,
850,1355,14,-30,2019-08-25,01:31:00,
1520,774,28,-8,2020-04-06,05:58:00,
1139,743,23,-27,2020-01-16,06:25:00,
1703,1696,33,-12,2020-09-25,01:15:00,
1228,878,18,-34,2021-10-31,01:38:00,
1037,964,28,-22,2018-07-21,06:55:00,
124,1051,32,-43,2018-10-19,07:43:00,191
1861,252,31,-23,2020-03-04,05:27:00,
1733,1057,22,-33,2018-09-05,05:40:00,
1546,471,23,-12,2021-10-11,05:45:00,
1887,1791,11,-24,2020-05-12,04:41:00,
1227,1265,23,-41,2020-04-30,04:05:00,
649,253,25,-11,2021-07-16,02:54:00,
739,177,40,-22,2018-12-26,02:09:00,
249,285,26,-32,2021-04-02,01:26:00,
566,284,37,-21,2020-02-23,06:59:00,
1450,1574,26,-31,2020-03-09,02:23:00,
836,368,23,-12,2020-07-11,04:45:00,
1535,1781,26,-28,2021-07-20,04:24:00,
1387,528,11,-43,2019-01-16,06:33:00,
895,1778,29,-12,2020-02-27,00:22:00,
391,1300,36,-25,2019-10-20,07:10:00,
1448,1407,23,-9,2018-07-03,03:28:00,
456,1445,45,-26,2021-03-17,04:41:00,
600,135,12,-27,2020-11-24,02:00:00,31
1779,1952,36,-23,2018-06-30,07:26:00,
1558,1049,19,-11,2021-02-17,04:20:00,
176,147,17,-41,2018-01-07,01:45:00,
737,1056,40,-8,2018-05-04,07:43:00,38
371,344,44,-19,2019-02-27,05:56:00,
144,720,22,-6,2021-08-18,05:40:00,
2001,848,44,-25,2020-10-20,05:18:00,
1556,820,23,-36,2019-02-23,03:42:00,
1526,1111,31,-12,2018-11-08,02:06:00,
1318,491,38,-41,2020-04-17,05:10:00,
1647,1621,21,-37,2020-02-02,05:22:00,163
1308,1446,28,-32,2018-06-13,02:01:00,
770,1774,14,-27,2021-07-24,04:02:00,
1820,1305,12,-33,2020-07-18,04:53:00,
275,682,13,-24,2020-05-08,02:48:00,
591,1393,18,-9,2020-08-11,01:50:00,
770,621,13,-45,2018-09-11,02:35:00,
826,240,11,-6,2019-12-08,02:28:00,
915,1813,45,-43,2018-04-03,04:52:00,
1672,454,16,-24,2021-08-19,02:13:00,187
934,1229,45,-19,2019-03-12,01:36:00,
936,434,23,-14,2018-08-13,00:34:00,
1018,773,36,-45,2020-02-14,05:38:00,
1740,1713,32,-22,2019-07-17,06:27:00,
434,1263,42,-19,2020-03-01,04:21:00,176
219,769,35,-41,2019-10-11,05:50:00,195
604,1810,28,-29,2020-02-12,04:31:00,
1178,1743,45,-8,2021-10-02,02:53:00,
978,1173,13,-36,2021-03-04,07:50:00,
800,1414,38,-30,2021-05-18,06:22:00,
968,964,27,-20,2020-11-13,07:30:00,
902,1958,14,-44,2020-02-19,01:24:00,
1922,466,15,-24,2020-10-11,06:06:00,
669,1966,35,-15,2021-08-20,04:22:00,
285,1988,24,-34,2019-12-17,03:33:00,
110,340,28,-16,2019-04-16,06:56:00,1
1275,577,40,-23,2018-01-23,03:38:00,
418,747,32,-37,2018-05-28,05:43:00,
638,552,36,-12,2020-06-02,04:52:00,
136,707,29,-44,2021-09-26,05:15:00,
1341,831,16,-28,2019-01-26,00:59:00,
1811,1346,15,-10,2020-05-24,01:19:00,
1006,1081,19,-32,2018-09-05,00:42:00,
428,1699,41,-44,2020-07-21,03:32:00,
163,1535,25,-12,2019-03-27,04:19:00,54
562,1937,24,-31,2021-09-22,06:48:00,
163,156,30,-45,2019-07-14,05:12:00,
1657,1394,38,-45,2018-11-13,02:31:00,
1774,1303,40,-15,2018-09-10,02:06:00,
1650,956,39,-15,2019-07-01,07:04:00,134
506,1797,39,-13,2020-01-17,00:10:00,
1031,1242,21,-21,2019-04-15,07:14:00,
1417,355,34,-18,2018-10-11,02:15:00,85
614,1615,31,-42,2018-03-02,02:01:00,97
1644,1565,39,-26,2018-02-14,02:43:00,
132,1833,10,-13,2018-03-13,04:29:00,9
1647,1371,38,-15,2021-03-23,06:19:00,
1746,631,13,-38,2018-12-11,00:45:00,
1458,1729,34,-37,2020-04-20,00:06:00,
740,1047,32,-33,2019-04-18,04:01:00,
1915,351,43,-35,2021-05-05,04:33:00,130
620,245,36,-35,2019-12-28,03:46:00,
713,807,20,-44,2020-07-06,02:18:00,
786,2003,37,-10,2021-09-12,03:58:00,143
1439,1222,29,-19,2018-04-27,01:08:00,
822,1450,10,-41,2021-01-03,06:08:00,150
1529,1753,23,-37,2019-08-16,03:32:00,
1201,1105,30,-29,2020-01-02,04:09:00,
959,529,32,-44,2020-12-31,01:41:00,
1886,212,29,-35,2019-01-28,03:25:00,
147,1111,20,-10,2020-08-23,01:51:00,
697,1266,11,-37,2021-11-08,05:50:00,
1263,1404,27,-20,2020-03-19,04:45:00,
1936,370,45,-43,2020-06-09,02:36:00,
1030,287,29,-8,2019-10-18,03:30:00,
743,665,33,-31,2020-02-10,05:39:00,
1242,386,36,-24,2021-05-14,03:17:00,
395,775,19,-30,2020-09-24,06:52:00,
1814,1555,40,-34,2021-03-30,03:40:00,
543,1934,17,-26,2020-04-03,07:42:00,
1329,1547,31,-43,2020-11-26,03:48:00,34
1963,1014,34,-18,2018-01-08,04:26:00,
175,511,19,-33,2019-10-16,05:21:00,
1205,951,25,-12,2018-10-31,02:28:00,191
455,528,41,-28,2019-06-27,07:13:00,
879,1759,32,-39,2019-03-10,03:01:00,
1278,1432,33,-32,2021-06-16,06:54:00,
1903,1385,45,-7,2021-07-02,04:57:00,
556,220,14,-13,2020-09-13,07:34:00,
806,1436,20,-41,2018-02-28,06:53:00,
1530,980,21,-32,2018-09-03,03:19:00,
858,918,42,-27,2021-05-31,03:14:00,
848,345,24,-44,2021-06-21,01:19:00,
1043,701,26,-33,2021-07-19,05:54:00,45
1597,1080,19,-9,2020-06-08,04:58:00,
1637,1040,29,-13,2020-05-26,03:30:00,123
545,230,26,-44,2020-05-03,00:04:00,
688,583,16,-12,2020-10-16,01:24:00,
1751,1437,43,-20,2021-04-16,04:18:00,23
1686,1246,31,-10,2021-01-26,02:49:00,
1958,1585,35,-33,2020-12-05,06:10:00,
408,1547,33,-7,2018-02-11,04:12:00,
1547,295,44,-13,2019-09-30,01:35:00,
554,1883,15,-40,2018-02-07,01:55:00,
947,1982,37,-5,2019-09-15,00:42:00,
303,383,39,-37,2019-12-11,07:45:00,
701,1997,22,-28,2019-03-18,07:58:00,
1604,1343,20,-30,2020-06-11,04:25:00,11
1222,1694,16,-31,2019-03-28,00:35:00,
445,900,38,-31,2021-04-14,02:50:00,
1786,266,45,-25,2021-10-01,00:26:00,
537,929,10,-40,2020-10-02,03:48:00,
1044,947,10,-32,2019-05-31,01:46:00,13
275,521,19,-20,2019-10-22,06:31:00,
1778,475,30,-40,2019-08-09,07:53:00,
1034,1187,10,-25,2018-07-27,01:46:00,
1250,1088,27,-44,2020-06-18,05:44:00,
318,1165,17,-29,2018-12-07,03:34:00,
1637,1700,22,-27,2019-06-06,04:53:00,
1285,1461,11,-15,2020-03-03,07:27:00,
1454,712,31,-27,2019-09-17,07:56:00,45
291,1322,38,-41,2020-08-28,02:17:00,
1396,1490,28,-16,2018-01-22,07:59:00,
1103,1869,33,-16,2020-06-01,06:45:00,97
1969,139,13,-28,2020-09-07,00:00:00,
360,1903,23,-34,2018-05-01,00:12:00,
949,845,39,-40,2021-01-14,00:47:00,78
1144,833,40,-5,2018-11-10,02:22:00,
1819,1120,43,-31,2019-10-01,04:44:00,
1086,1646,45,-37,2020-04-06,07:18:00,121
1942,1968,39,-37,2018-08-02,02:41:00,
1643,500,23,-12,2020-05-19,05:12:00,
2000,435,22,-37,2018-10-19,05:21:00,
1436,615,37,-5,2020-07-27,05:19:00,
1980,1562,44,-5,2019-02-22,00:34:00,
378,1562,27,-36,2021-10-05,03:41:00,
1562,1276,21,-21,2020-09-02,06:09:00,
385,1071,14,-29,2021-06-14,05:54:00,
1284,846,29,-23,2021-08-12,07:31:00,9
510,865,39,-27,2018-04-29,01:59:00,
1571,1729,11,-41,2019-01-08,02:18:00,94
1203,1641,16,-5,2018-10-25,00:37:00,
345,463,12,-40,2018-01-31,07:06:00,
337,1168,43,-39,2019-09-17,06:16:00,
538,1588,15,-44,2020-06-10,07:26:00,
1452,933,13,-28,2020-03-05,06:23:00,
1145,587,37,-10,2021-10-22,03:56:00,
1365,1472,43,-16,2021-01-21,05:07:00,23
1153,1009,33,-34,2020-02-16,07:22:00,
877,161,38,-39,2018-04-17,00:12:00,
1647,1664,12,-40,2019-10-06,03:33:00,
233,1954,38,-43,2020-02-15,06:05:00,
173,1404,10,-24,2020-03-20,05:21:00,
694,883,15,-21,2018-04-30,06:19:00,
1382,987,37,-42,2018-06-17,00:05:00,
374,1231,33,-15,2021-02-27,02:14:00,
808,1551,22,-44,2020-12-01,02:36:00,150
1089,840,18,-29,2019-08-07,03:25:00,
1576,1672,10,-24,2021-07-06,07:30:00,
867,1158,33,-44,2021-08-29,06:13:00,
107,1639,16,-16,2021-04-09,00:35:00,188
1246,1393,23,-13,2018-04-16,06:47:00,
805,1477,22,-31,2020-07-24,06:59:00,
162,2000,37,-8,2020-09-04,03:37:00,
1752,1432,14,-24,2018-06-03,05:18:00,6
1103,1078,28,-10,2020-11-24,02:07:00,
1890,220,45,-18,2019-07-31,00:01:00,
734,558,42,-35,2020-04-03,03:34:00,
748,507,11,-15,2018-10-08,02:58:00,
586,1734,21,-34,2019-10-04,04:56:00,
312,612,34,-44,2020-12-07,07:34:00,
535,1672,32,-20,2018-12-20,07:00:00,
1625,417,15,-44,2018-09-08,04:20:00,
1139,1807,40,-7,2018-07-03,01:45:00,
1839,1290,36,-5,2019-03-25,07:50:00,
1317,1191,43,-17,2021-01-05,01:18:00,
712,1555,10,-16,2019-01-02,05:22:00,
239,915,12,-26,2018-02-26,03:34:00,
465,1673,33,-43,2020-11-09,04:13:00,
1481,1233,31,-5,2018-11-21,02:07:00,
722,1712,15,-5,2019-10-02,05:01:00,
1517,207,40,-32,2020-01-09,04:10:00,
874,1666,12,-29,2019-09-20,07:07:00,
1416,1440,36,-29,2020-02-08,03:21:00,
1997,823,31,-43,2018-06-21,01:09:00,
1416,413,34,-45,2020-04-19,00:07:00,10
1188,790,44,-43,2019-08-04,05:49:00,
663,1733,25,-27,2019-03-04,02:11:00,
1441,1928,14,-30,2018-05-30,06:49:00,195
1964,301,45,-38,2018-04-07,06:25:00,
218,1970,40,-21,2019-02-02,07:34:00,
1772,732,23,-12,2018-11-20,04:38:00,
1745,1703,44,-38,2020-07-31,07:53:00,73
1239,1111,14,-19,2018-03-25,03:30:00,
1172,429,17,-15,2019-02-09,07:57:00,
1848,711,12,-13,2020-09-20,05:02:00,
2003,944,43,-15,2018-04-30,01:55:00,
1610,975,44,-10,2020-07-11,02:45:00,
1069,154,30,-34,2020-01-29,03:37:00,
479,930,21,-28,2021-02-11,01:18:00,
2001,1221,11,-35,2019-08-13,03:36:00,
1949,1663,28,-33,2021-10-21,02:57:00,
278,340,40,-10,2019-12-17,00:09:00,
1336,1809,19,-43,2020-06-22,02:47:00,
1957,811,17,-43,2021-09-29,07:19:00,
1934,1603,29,-27,2018-11-10,06:28:00,
1537,277,42,-15,2021-02-27,07:47:00,
1850,1870,29,-30,2018-09-22,03:35:00,141
1241,1454,44,-28,2018-06-12,06:08:00,
1548,208,23,-14,2018-10-22,00:05:00,
431,1364,13,-21,2021-08-18,06:46:00,137
1917,526,43,-33,2018-10-16,05:30:00,
1295,937,34,-33,2020-09-01,06:25:00,179
1532,545,17,-40,2018-09-27,00:59:00,
841,228,21,-25,2018-09-06,01:17:00,
811,1507,43,-41,2020-12-24,00:38:00,
1586,1403,40,-23,2019-03-09,00:39:00,
951,1709,21,-44,2020-07-30,05:55:00,
1356,763,12,-42,2021-06-18,07:22:00,152
320,1347,39,-45,2018-06-14,02:52:00,116
1967,1350,42,-32,2019-06-13,01:06:00,
1705,380,14,-44,2021-01-30,02:40:00,
872,1984,16,-36,2019-10-27,00:00:00,
1214,1125,17,-35,2019-11-03,06:26:00,
1505,458,25,-37,2020-10-05,06:52:00,
1629,610,44,-25,2020-01-20,05:31:00,
1018,641,13,-33,2020-05-21,07:39:00,
1804,624,24,-40,2019-05-29,02:21:00,
1068,1388,21,-22,2019-01-09,06:03:00,
1754,1143,28,-45,2018-12-09,00:09:00,131
493,1126,41,-38,2020-07-11,02:23:00,
301,1480,42,-33,2020-02-25,04:56:00,
1512,1350,32,-33,2018-01-18,05:12:00,
599,1988,30,-33,2021-04-15,04:58:00,
503,374,13,-14,2019-12-29,05:18:00,
1471,1639,34,-9,2020-12-28,06:00:00,
848,579,17,-44,2020-03-13,03:14:00,174
853,1476,43,-11,2019-11-21,03:46:00,
1836,1119,41,-37,2019-07-14,04:32:00,
1405,183,29,-31,2020-10-30,04:37:00,
543,617,23,-14,2019-03-21,07:51:00,
1431,741,23,-31,2021-09-30,07:11:00,
1513,701,17,-29,2018-01-23,04:14:00,90
679,112,10,-9,2019-03-11,02:02:00,
387,862,17,-41,2019-08-27,06:50:00,
908,827,12,-29,2020-01-04,00:29:00,
645,586,40,-23,2021-08-08,06:06:00,
323,1884,32,-27,2019-09-08,06:42:00,36
804,1981,40,-18,2018-04-08,01:35:00,
1601,1078,12,-28,2018-12-30,01:13:00,
306,1542,28,-38,2018-01-19,00:35:00,
1461,938,44,-42,2019-12-28,02:05:00,
1957,307,29,-8,2019-01-28,05:23:00,175
222,1489,32,-12,2019-10-27,07:58:00,
1045,1781,40,-30,2021-03-15,04:26:00,
395,926,20,-27,2021-08-08,05:42:00,
1895,1478,43,-11,2019-04-09,01:50:00,24
155,1594,22,-36,2019-12-27,02:58:00,
1467,227,19,-35,2020-03-05,03:27:00,
836,1277,11,-27,2020-06-26,02:26:00,24
563,1143,20,-20,2021-06-12,05:04:00,
1840,1224,30,-44,2020-12-26,01:44:00,71
774,623,33,-10,2019-02-25,05:49:00,
1530,182,11,-31,2018-02-05,03:38:00,
391,1619,14,-5,2021-01-24,03:53:00,
322,366,27,-15,2019-05-13,03:54:00,
827,1071,27,-44,2021-01-03,02:55:00,
325,171,35,-19,2018-08-03,01:26:00,
219,1578,30,-39,2020-07-17,06:02:00,
1949,385,20,-26,2020-01-17,06:49:00,
1046,1986,15,-33,2019-10-05,01:12:00,
1192,1969,39,-13,2021-09-10,03:05:00,10
392,1573,11,-30,2018-03-05,03:23:00,25
285,809,30,-38,2020-05-20,02:30:00,
1507,180,45,-23,2021-07-25,06:36:00,
1901,847,44,-12,2018-10-15,03:11:00,133
489,1167,14,-35,2020-08-05,06:13:00,
1012,1842,12,-41,2020-11-30,01:38:00,
378,1726,35,-33,2018-08-09,02:40:00,
1527,138,28,-34,2021-08-16,02:24:00,50
737,1231,25,-22,2018-10-17,05:11:00,
478,1451,28,-30,2019-04-12,00:14:00,
823,1924,13,-27,2019-01-07,01:56:00,
1839,1610,40,-39,2020-05-15,04:07:00,
644,237,26,-13,2020-09-04,07:06:00,
1271,137,13,-6,2019-08-04,03:39:00,
843,535,22,-33,2021-07-16,03:52:00,
841,221,17,-8,2019-10-11,06:20:00,
1333,776,29,-31,2019-11-25,05:00:00,
1950,1328,16,-40,2021-08-13,05:06:00,
799,948,29,-28,2019-09-07,00:07:00,6
805,691,36,-19,2018-10-06,03:24:00,
1924,1909,45,-40,2018-12-01,02:16:00,
907,855,10,-28,2019-07-11,01:40:00,
1590,1772,14,-24,2020-07-25,03:23:00,
1669,819,34,-19,2018-06-29,00:40:00,103
642,448,41,-39,2020-09-19,01:15:00,
1741,1413,27,-29,2019-06-21,05:51:00,
1996,660,21,-11,2019-05-31,01:42:00,
889,1179,21,-41,2020-02-11,00:11:00,
1158,829,20,-16,2021-07-12,02:21:00,
1970,1990,42,-7,2021-02-02,05:36:00,
1950,1738,34,-26,2021-08-05,05:24:00,
1202,1860,24,-22,2020-12-30,04:59:00,
931,732,14,-13,2020-03-01,06:41:00,188
393,871,35,-41,2021-06-16,00:41:00,
1695,1823,19,-27,2020-10-05,00:19:00,
1961,1809,17,-18,2020-12-01,07:41:00,192
421,340,26,-15,2018-12-26,06:24:00,
457,121,35,-33,2020-09-25,01:34:00,
1573,992,26,-37,2018-05-14,02:36:00,161
514,1547,23,-28,2021-05-13,02:43:00,
1591,1620,19,-5,2020-10-04,06:50:00,
1363,290,23,-10,2019-05-27,01:54:00,157
1245,999,38,-11,2021-04-19,04:32:00,
1714,1034,44,-33,2018-05-11,04:10:00,
1263,381,31,-45,2020-12-07,00:20:00,
140,185,31,-43,2019-08-24,05:05:00,
1961,1982,30,-33,2018-10-03,03:28:00,
810,1530,23,-42,2018-01-16,07:44:00,5
1436,1881,37,-6,2018-03-24,05:25:00,
1883,708,30,-39,2020-12-23,05:45:00,
1823,1983,35,-11,2018-02-05,03:21:00,
377,1359,12,-30,2021-06-28,07:50:00,
112,1646,10,-39,2019-09-20,02:06:00,
1560,640,37,-8,2020-08-16,05:26:00,16
586,1770,30,-35,2021-07-22,00:07:00,
1822,1757,19,-5,2021-01-21,00:51:00,
1510,433,26,-6,2021-10-28,02:28:00,
1358,294,24,-33,2020-06-15,03:30:00,156
957,1898,23,-6,2018-11-02,03:07:00,
833,884,16,-11,2019-12-21,01:23:00,85
1302,234,24,-34,2019-02-25,07:31:00,
1314,540,11,-23,2020-12-14,07:39:00,
1222,1941,24,-24,2020-04-01,05:10:00,
687,1146,14,-25,2020-12-31,06:16:00,
1661,753,36,-30,2019-01-09,07:50:00,59
1036,1018,36,-33,2018-06-18,00:59:00,
535,600,32,-36,2019-11-15,03:18:00,
362,860,25,-18,2020-01-26,04:50:00,
827,967,24,-8,2018-10-04,06:32:00,31
796,1873,15,-25,2018-12-01,04:54:00,
1404,680,41,-8,2018-07-14,01:41:00,
1510,528,29,-10,2019-09-24,04:51:00,
1391,871,38,-21,2020-08-13,06:39:00,74
1303,297,19,-21,2021-01-21,04:13:00,
896,1481,23,-19,2021-05-08,04:24:00,
1298,1169,43,-27,2020-08-15,06:50:00,191
1766,975,17,-31,2018-01-01,03:40:00,
1383,1963,16,-24,2020-10-04,06:44:00,
1698,1224,10,-12,2020-04-29,05:19:00,
182,1263,18,-29,2018-02-08,01:27:00,
1649,876,16,-40,2019-10-02,02:59:00,
383,1985,21,-39,2019-11-07,04:26:00,
484,1385,20,-6,2018-07-14,05:56:00,
1458,1555,12,-15,2020-06-19,07:28:00,
1337,816,11,-38,2018-02-27,00:39:00,
1747,1510,39,-6,2021-09-23,07:38:00,
1425,1103,40,-41,2021-09-21,00:22:00,
1862,1091,36,-36,2018-06-21,06:17:00,
895,1712,23,-10,2019-04-25,02:44:00,
1780,1693,30,-15,2019-07-08,02:13:00,
1607,1385,41,-5,2021-07-27,06:34:00,
1885,123,13,-38,2020-05-11,07:10:00,
1218,1463,17,-27,2018-01-21,07:41:00,
1965,189,30,-10,2018-08-16,03:11:00,
438,692,44,-18,2021-06-26,07:47:00,
588,944,19,-29,2019-07-30,00:07:00,
1115,1366,33,-34,2019-02-21,00:29:00,79
1867,1142,16,-15,2021-11-03,04:27:00,
176,1959,37,-25,2020-07-29,00:55:00,
1146,254,10,-22,2019-02-08,02:54:00,
935,1756,29,-42,2018-03-03,02:06:00,
521,699,37,-35,2018-03-28,02:02:00,
128,1781,37,-27,2020-12-11,06:58:00,
271,1199,41,-13,2018-10-27,01:56:00,
2000,153,26,-20,2019-07-25,02:50:00,
797,840,39,-9,2019-02-02,07:39:00,
121,1290,24,-8,2018-09-15,05:55:00,75
934,1190,24,-23,2019-03-25,05:55:00,25
640,232,14,-45,2019-04-29,03:23:00,
1188,1347,10,-12,2018-01-13,03:07:00,
1299,819,11,-44,2019-12-17,07:55:00,
323,1098,33,-31,2019-12-30,01:33:00,
1829,1985,29,-28,2019-11-25,05:17:00,
299,852,13,-14,2018-04-21,01:13:00,
1446,1474,32,-33,2021-10-15,06:32:00,
1119,141,41,-27,2021-02-10,00:50:00,61
1214,402,20,-16,2020-04-21,07:49:00,
596,1591,10,-28,2018-10-22,00:28:00,
917,1165,44,-31,2018-07-28,00:22:00,
1385,1212,20,-31,2021-02-10,07:47:00,
1402,1847,23,-41,2019-01-29,01:59:00,159
993,1648,38,-30,2018-06-12,06:06:00,
852,706,16,-20,2021-07-19,00:04:00,
315,1816,30,-30,2019-07-28,07:40:00,
1136,930,37,-7,2021-06-20,05:24:00,172
1542,1669,23,-14,2020-04-14,03:41:00,
793,1205,33,-30,2019-08-18,04:15:00,
918,1085,35,-33,2019-12-02,07:01:00,
1269,1900,45,-37,2018-08-01,03:57:00,
146,1150,20,-27,2018-10-10,00:49:00,
1452,893,29,-14,2018-10-06,04:04:00,114
1009,1194,35,-28,2019-08-25,07:58:00,86
723,1486,29,-44,2019-09-15,01:20:00,
1159,642,25,-27,2021-06-10,06:54:00,
588,150,44,-14,2019-05-26,02:28:00,58
1430,1253,40,-10,2021-09-15,04:36:00,
398,1221,35,-24,2020-05-10,01:45:00,
772,2002,35,-21,2021-04-29,03:08:00,
1540,704,31,-21,2019-08-30,00:12:00,
434,177,23,-19,2020-01-16,05:50:00,
486,226,13,-40,2018-02-26,07:59:00,
286,760,18,-26,2018-10-03,04:44:00,
855,2006,24,-25,2020-07-20,06:56:00,137
774,303,18,-13,2019-03-06,01:32:00,
1920,316,40,-18,2018-02-15,05:13:00,
1434,880,27,-24,2020-03-01,00:18:00,
469,487,24,-6,2018-09-18,06:28:00,
1900,1632,12,-44,2018-04-19,07:34:00,
558,282,17,-35,2018-12-15,04:46:00,
101,474,10,-34,2021-06-15,02:17:00,
525,258,10,-33,2018-07-27,04:42:00,71
1801,1387,45,-15,2021-01-15,01:50:00,
644,1334,34,-41,2020-02-10,02:01:00,139
833,1830,21,-25,2021-01-27,00:53:00,
886,158,44,-26,2020-08-08,00:08:00,118
1891,1564,26,-37,2021-04-04,00:15:00,
1148,1296,11,-43,2021-06-12,00:06:00,
113,222,18,-43,2020-02-29,04:31:00,
498,1291,24,-11,2019-11-08,03:16:00,
1222,468,16,-31,2018-07-19,00:04:00,
275,500,38,-14,2018-12-14,01:36:00,
1353,1714,17,-36,2020-05-13,06:57:00,
1235,1250,26,-40,2018-11-14,05:53:00,
543,409,31,-16,2020-05-03,04:10:00,
1631,1113,34,-29,2020-07-16,02:34:00,
965,1402,23,-37,2019-02-03,07:11:00,
1963,1822,30,-32,2018-09-14,06:49:00,
344,371,24,-39,2020-07-22,02:45:00,
807,395,39,-14,2021-06-04,00:06:00,
1999,1620,16,-43,2021-01-02,07:17:00,
1604,1550,19,-19,2021-06-05,03:04:00,
156,1459,40,-35,2020-03-28,07:36:00,
1687,1795,20,-23,2021-05-10,07:57:00,
1978,194,36,-34,2020-12-10,04:17:00,
1037,1284,27,-17,2019-03-07,03:19:00,
1014,838,21,-39,2019-04-05,05:44:00,
1989,1787,43,-20,2020-11-07,01:19:00,
1923,1721,30,-10,2021-09-01,03:28:00,
914,1082,40,-23,2018-10-24,01:19:00,
1263,1587,22,-44,2021-03-13,03:36:00,
1317,290,29,-19,2021-02-18,07:34:00,
310,463,34,-26,2021-02-18,06:26:00,
295,602,39,-39,2018-10-27,05:49:00,
1963,920,28,-41,2019-01-20,02:53:00,
1588,1632,18,-10,2021-08-15,07:04:00,145
859,457,43,-22,2018-03-27,04:57:00,
1343,1766,28,-18,2019-07-09,01:02:00,183
1068,496,26,-8,2019-08-12,00:05:00,
1252,1082,14,-27,2018-11-18,02:06:00,
790,314,34,-29,2018-02-25,03:01:00,
662,973,37,-30,2018-08-21,00:40:00,
1684,496,28,-25,2020-05-30,02:34:00,183
682,1094,12,-45,2018-04-02,00:05:00,
1870,1756,34,-18,2019-11-15,07:53:00,
1751,836,19,-39,2018-07-16,01:58:00,82
1468,1884,13,-44,2020-12-09,02:45:00,48
1084,2001,44,-27,2018-03-29,00:30:00,
1489,1432,17,-24,2020-07-30,02:09:00,
1394,644,15,-7,2020-01-02,00:11:00,
1380,1856,25,-6,2021-09-13,03:54:00,48
639,1888,19,-45,2020-01-12,03:13:00,107
1157,1355,30,-24,2019-07-08,00:48:00,
1896,1806,21,-15,2018-06-07,02:30:00,
1941,284,44,-21,2018-11-22,03:24:00,
1981,376,29,-29,2018-09-25,04:48:00,
1112,1141,11,-35,2018-10-28,07:22:00,
1987,452,11,-25,2021-02-05,00:59:00,186
1921,1261,17,-18,2019-09-12,04:15:00,
738,566,35,-15,2018-02-18,06:06:00,
1521,457,33,-22,2019-10-13,04:15:00,
491,1204,10,-34,2019-09-04,07:44:00,
1362,1046,16,-35,2020-05-17,04:02:00,
497,709,38,-19,2021-07-01,05:59:00,160
1292,1794,13,-17,2019-04-27,05:08:00,
411,1499,37,-34,2021-04-14,02:35:00,
173,179,10,-39,2019-06-23,02:12:00,
169,104,27,-42,2020-01-08,07:14:00,
1308,998,26,-8,2020-04-28,01:15:00,
664,480,41,-22,2019-05-01,00:22:00,
269,2006,35,-29,2018-09-04,02:13:00,
1768,1340,33,-9,2020-12-23,05:38:00,
1196,790,36,-14,2020-07-17,02:33:00,
627,1248,40,-10,2020-06-16,04:32:00,72
933,504,29,-37,2018-12-23,00:09:00,
802,1002,32,-42,2019-06-02,01:45:00,
903,1890,18,-24,2021-08-03,02:42:00,
1283,1551,15,-16,2018-06-06,06:21:00,155
482,1880,17,-21,2019-09-12,02:12:00,
1784,650,44,-35,2019-10-11,00:45:00,
301,824,22,-33,2018-01-22,04:29:00,
810,1455,14,-28,2019-09-22,06:50:00,170
1422,376,25,-32,2020-05-09,01:52:00,
2007,475,44,-42,2018-11-06,03:58:00,
775,456,16,-17,2018-10-27,05:49:00,
534,196,22,-25,2021-03-25,07:24:00,
1269,1828,24,-5,2018-07-14,04:44:00,
716,1297,25,-26,2020-12-15,06:01:00,
1185,683,39,-15,2021-06-19,02:17:00,110
1785,434,18,-35,2019-12-26,06:06:00,66
1801,752,44,-35,2019-01-20,01:00:00,
1004,548,44,-7,2020-11-27,01:13:00,153
723,1189,27,-20,2020-01-31,03:49:00,
772,1687,29,-9,2020-10-11,03:22:00,
1646,836,19,-21,2021-02-25,03:22:00,
1456,627,17,-32,2018-08-11,03:10:00,123
1912,1399,41,-36,2021-04-30,01:12:00,
1359,1749,18,-41,2021-09-25,06:47:00,
722,331,45,-13,2019-05-06,07:46:00,
1887,412,37,-34,2020-01-18,07:01:00,
1353,1331,38,-23,2020-02-20,05:57:00,
1163,693,24,-16,2020-11-13,01:41:00,
1951,1829,11,-44,2018-06-08,01:55:00,
134,1620,35,-20,2018-12-30,03:59:00,
1781,1663,41,-14,2018-11-21,01:25:00,
1057,1293,15,-5,2019-03-30,03:04:00,
778,1046,12,-32,2020-04-11,07:30:00,41
739,230,34,-34,2021-08-04,05:57:00,
680,1405,13,-22,2018-06-25,05:43:00,
1883,1653,36,-44,2019-11-29,02:19:00,
1460,910,33,-45,2020-07-21,03:12:00,
1740,1793,25,-6,2020-08-04,05:01:00,
1093,456,35,-26,2019-01-12,00:49:00,
171,1970,20,-41,2020-03-15,00:54:00,
1236,1996,39,-36,2021-08-27,02:03:00,
208,274,17,-32,2020-08-20,05:26:00,
1240,1169,18,-42,2021-01-23,07:23:00,141
1168,1775,34,-29,2020-11-28,02:32:00,
1061,1297,44,-42,2020-04-15,02:01:00,82
207,1699,18,-36,2019-05-19,01:58:00,
1712,884,22,-7,2018-10-03,00:41:00,188
1736,777,28,-45,2021-10-05,05:20:00,
326,929,41,-11,2020-10-01,01:56:00,46
653,642,24,-24,2018-11-19,04:45:00,159
1556,162,39,-40,2019-10-26,07:59:00,
1678,1675,39,-41,2018-11-28,05:42:00,
